OBJECTID,Tree ID,Tree Type,Genus,Species,Cultivar or Varietal,Common Name,Canopy Spread,Height,Latitude,Longitude
598,10120,DECIDUOUS,Quercus,rubra,,Northern Red Oak,45,50,40.00882534,-105.2715062
599,10121,DECIDUOUS,Quercus,rubra,,Northern Red Oak,23,28,40.00858333,-105.2715287
600,10129,DECIDUOUS,Ulmus,americana,,American Elm,45,85,40.00881864,-105.2726412
601,10139,DECIDUOUS,Acer,saccharinum,,Silver Maple,40,93,40.0090459,-105.2724521
602,10279,DECIDUOUS,Acer,rubrum,,Red Maple,8,15,40.00977507,-105.2747078
603,10337,DECIDUOUS,Quercus,rubra,,Northern Red Oak,8,10,40.0102635,-105.2758974
604,10338,DECIDUOUS,Acer,saccharum,,Sugar Maple,24,30,40.0101951,-105.275761
605,10350,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,40,48,40.01024856,-105.2750037
606,10462,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,25,38,40.00959773,-105.2760316
607,10728,DECIDUOUS,Fraxinus,americana,,White Ash,20,35,40.00904545,-105.2744857
608,10729,DECIDUOUS,Fraxinus,americana,,White Ash,20,35,40.00905972,-105.2744531
609,10740,DECIDUOUS,Fraxinus,americana,,White Ash,8,20,40.00963082,-105.2740756
610,10747,DECIDUOUS,Fraxinus,americana,,White Ash,15,30,40.00964189,-105.2744491
611,10764,DECIDUOUS,Fraxinus,pennsylvanica,,Green Ash,30,40,40.0091814,-105.2757567
612,10775,DECIDUOUS,Fraxinus,americana,,White Ash,25,60,40.01034449,-105.2745355
613,10779,DECIDUOUS,Fraxinus,americana,,White Ash,15,30,40.01011441,-105.2741795
614,10797,DECIDUOUS,Fraxinus,americana,,White Ash,15,35,40.00999184,-105.2737411
615,10798,DECIDUOUS,Fraxinus,americana,,White Ash,15,35,40.01001201,-105.2737028
616,10805,DECIDUOUS,Fraxinus,americana,,White Ash,15,35,40.00997838,-105.2736364
617,10824,DECIDUOUS,Fraxinus,americana,,White Ash,40,50,40.01022248,-105.2731512
618,10825,DECIDUOUS,Fraxinus,americana,,White Ash,20,40,40.01026141,-105.273202
619,10829,DECIDUOUS,Fraxinus,americana,,White Ash,12,30,40.01031443,-105.2733863
620,10885,DECIDUOUS,Fraxinus,pennsylvanica,,Green Ash,20,40,40.00929654,-105.272248
621,11192,DECIDUOUS,Acer,ginnala,,Amur Maple,15,15,40.00805943,-105.2722389
622,11195,DECIDUOUS,Syringa,,,Tree Lilac,15,16,40.00812479,-105.272235
623,11662,DECIDUOUS,Acer,pseudoplatanus,,Sycamore Maple,20,32,40.00847994,-105.2713464
624,11665,DECIDUOUS,Quercus,bicolor,,Swamp White Oak,16,40,40.00910491,-105.2739085
625,11666,DECIDUOUS,Quercus,prinus,,Chestnut Oak,42,82,40.00854375,-105.2740336
626,11676,CONIFEROUS,Abies,concolor,,White Fir,10,36,40.00852592,-105.2714063
627,14151,DECIDUOUS,Gleditsia,triacanthos,,Honey Locust,6,6,40.00997379,-105.2756999
628,12333,CONIFEROUS,Juniperus,,,Juniper,20,40,40.00995995,-105.272281
629,12365,DECIDUOUS,Gingko,biloba,,Gingko,16,30,40.00972911,-105.2722468
630,12420,CONIFEROUS,Picea,pungens,,Blue Spruce,16,50,40.00971439,-105.2732491
631,12466,DECIDUOUS,Quercus,rubra,,Northern Red Oak,30,68,40.00890373,-105.2730371
632,12476,DECIDUOUS,Gingko,biloba,,Gingko,5,12,40.00818644,-105.2729827
633,12480,DECIDUOUS,Quercus,rubra,,Northern Red Oak,40,55,40.00791697,-105.2730867
634,12482,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,20,35,40.00804792,-105.2727982
635,12383,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,30,55,40.00983338,-105.2721076
636,12386,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,10,20,40.00999131,-105.2720496
637,12387,DECIDUOUS,Acer,platanoides,,Norway Maple,25,28,40.00993709,-105.2720124
638,12388,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,20,40,40.01035101,-105.2722322
639,12397,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,12,24,40.0101434,-105.2730861
640,12400,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,12,24,40.01019471,-105.2729729
641,12902,CONIFEROUS,Picea,pungens,,Blue Spruce,16,55,40.00930639,-105.2734864
642,12904,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,18,58,40.00926637,-105.2737546
643,12909,DECIDUOUS,Prunus,,,Flowering fruit trees,16,30,40.00906377,-105.2742505
644,12919,DECIDUOUS,Acer,saccharinum,,Silver Maple,25,30,40.00978831,-105.2745321
645,12921,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.01004408,-105.274514
646,12926,DECIDUOUS,Gymnocladus,dioicus,,Kentucky Coffeetree,35,65,40.01016852,-105.2747657
647,12680,DECIDUOUS,Koelreuteria,,,Golden Rain Tree,15,30,40.00816292,-105.2747073
648,12687,DECIDUOUS,Gingko,biloba,,Gingko,7,10,40.00829618,-105.2744101
649,12732,CONIFEROUS,Juniperus,,,Juniper,18,35,40.00826856,-105.2743303
650,12753,DECIDUOUS,Acer,saccharinum,,Silver Maple,20,40,40.0091385,-105.2707318
651,12788,DECIDUOUS,Gymnocladus,dioicus,,Kentucky Coffeetree,30,30,40.00934314,-105.2715892
652,12806,DECIDUOUS,Catalpa,speciosa,,Western Catalpa,30,58,40.00938921,-105.2735878
653,12807,DECIDUOUS,Quercus,rubra,,Northern Red Oak,40,62,40.00928361,-105.2738253
654,12851,CONIFEROUS,Picea,pungens,,Blue Spruce,12,29,40.00933937,-105.271327
655,12852,CONIFEROUS,Picea,pungens,,Blue Spruce,12,26,40.00935163,-105.2712821
656,12854,CONIFEROUS,Picea,pungens,,Blue Spruce,18,68,40.0091133,-105.271193
657,12859,CONIFEROUS,Thuja,,,Arborvitae,25,40,40.00918398,-105.2709573
658,12947,DECIDUOUS,Prunus,,,Flowering fruit trees,6,10,40.01002656,-105.2748921
659,12950,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00990429,-105.2748671
660,12948,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00991577,-105.2749058
661,12963,CONIFEROUS,Picea,pungens,,Blue Spruce,16,40,40.00712727,-105.2728723
662,12970,CONIFEROUS,Juniperus,,,Juniper,10,25,40.00969238,-105.2738982
663,12971,CONIFEROUS,Picea,pungens,,Blue Spruce,10,25,40.00971054,-105.2738396
664,12979,CONIFEROUS,Thuja,,,Arborvitae,8,12,40.00927249,-105.2740741
665,10748,CONIFEROUS,Picea,pungens,,Blue Spruce,10,15,40.00960263,-105.2744545
