,OBJECTID,Tree ID,Tree Type,Genus,Species,Common Name,Canopy Spread,Height,Latitude,Longitude
134,135,12340,CONIFEROUS,Juniperus,Unknown,Juniper,10.0,25.0,40.01033122,-105.2723156
135,136,12416,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,45.0,40.00966657,-105.2724697
136,137,12465,DECIDUOUS,Quercus,macrocarpa,Bur Oak,8.0,18.0,40.00893141,-105.2728444
137,138,12478,DECIDUOUS,Quercus,rubra,Northern Red Oak,33.0,30.0,40.00835893,-105.2728628
138,139,12483,DECIDUOUS,Celtis,occidentalis,Common Hackberry,25.0,45.0,40.00816906,-105.2727887
139,140,12491,DECIDUOUS,Quercus,robur,English Oak,10.0,40.0,40.00787247,-105.2734444
140,141,12494,DECIDUOUS,Quercus,robur,English Oak,15.0,45.0,40.00787305,-105.2733079
141,142,12541,CONIFEROUS,Thuja,Unknown,Arborvitae,10.0,20.0,40.00825208,-105.2734993
142,143,12544,CONIFEROUS,Abies,concolor,White Fir,24.0,45.0,40.00819932,-105.2730477
143,144,12547,CONIFEROUS,Picea,pungens,Blue Spruce,24.0,45.0,40.008152,-105.2730947
144,145,12379,DECIDUOUS,Acer,rubrum,Red Maple,30.0,40.0,40.00951411,-105.2732592
145,146,12395,DECIDUOUS,Populus,deltoides,Eastern Cotton Wood,45.0,70.0,40.01006089,-105.2731596
146,147,12414,CONIFEROUS,Picea,pungens,Blue Spruce,8.0,38.0,40.0096655,-105.2721083
147,148,12899,CONIFEROUS,Picea,pungens,Blue Spruce,24.0,58.0,40.00931456,-105.2731395
148,149,12908,DECIDUOUS,Populus,Unknown,Poplar,18.0,50.0,40.00957852,-105.274425
149,150,12912,DECIDUOUS,Prunus,Unknown,Flowering fruit trees,16.0,25.0,40.0089623,-105.2741147
150,151,12913,DECIDUOUS,Cercis,canadensis,Redbud,16.0,30.0,40.00906097,-105.2742152
151,152,12929,DECIDUOUS,Crataegus,crusgalli,Cockspur Hawthorn,10.0,10.0,40.01020518,-105.2748804
152,153,12934,DECIDUOUS,Ulmus,americana,American Elm,40.0,65.0,40.01035315,-105.2749046
153,154,12725,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,30.0,50.0,40.00810352,-105.2744677
154,155,12731,CONIFEROUS,Juniperus,Unknown,Juniper,18.0,35.0,40.00830406,-105.2743406
155,156,12791,DECIDUOUS,Malus,Unknown,Apple,7.0,7.0,40.00905961,-105.2714777
156,157,12799,DECIDUOUS,Acer,rubrum,Red Maple,16.0,24.0,40.00902404,-105.2741008
157,158,12848,CONIFEROUS,Juniperus,Unknown,Juniper,18.0,35.0,40.00773728,-105.2726454
158,159,12946,DECIDUOUS,Prunus,Unknown,Flowering fruit trees,6.0,10.0,40.01000629,-105.2748178
159,160,12960,CONIFEROUS,Picea,pungens,Blue Spruce,18.0,40.0,40.00715453,-105.2726231
160,161,12977,CONIFEROUS,Thuja,Unknown,Arborvitae,8.0,12.0,40.00929869,-105.2740137
161,162,12981,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,18.0,61.0,40.00951058,-105.2741272
162,163,12985,CONIFEROUS,Juniperus,Unknown,Juniper,15.0,20.0,40.00926905,-105.2742791
163,164,12992,DECIDUOUS,Rhamnus,Unknown,Buckthorn,8.0,12.0,40.00738939,-105.2725226
